date,ticker,price
2024-01-01,AAPL,149.5357146671378
2024-01-02,AAPL,149.42534440376156
2024-01-03,AAPL,148.73567563288682
2024-01-04,AAPL,146.85065029717643
2024-01-05,AAPL,149.1585625245028
2024-01-06,AAPL,148.71692141454778
2024-01-07,AAPL,146.87686922387417
2024-01-08,AAPL,146.3269086511267
2024-01-09,AAPL,145.46819716429326
2024-01-10,AAPL,146.36308767098396
2024-01-11,AAPL,145.63835071673032
2024-01-12,AAPL,144.48142648351498
2024-01-13,AAPL,145.89483856502997
2024-01-14,AAPL,146.5179941731438
2024-01-15,AAPL,147.8450438209172
2024-01-16,AAPL,148.21998363783646
2024-01-17,AAPL,147.63582862982682
2024-01-18,AAPL,147.0789264906005
2024-01-19,AAPL,147.73192581356022
2024-01-20,AAPL,148.5468515845135
